2025/07/01 21:50:02.001650 [INFO] Log Publish not set, skipping...
2025/07/01 22:10:01.280502 [INFO] Log Publish not set, skipping...
2025/07/01 22:30:01.439840 [INFO] Log Publish not set, skipping...
2025/07/01 22:50:01.480051 [INFO] Log Publish not set, skipping...
2025/07/01 23:10:01.861859 [INFO] Log Publish not set, skipping...
2025/07/01 23:30:01.933301 [INFO] Log Publish not set, skipping...
2025/07/01 23:50:01.986487 [INFO] Log Publish not set, skipping...
2025/07/02 00:10:01.249550 [INFO] Log Publish not set, skipping...
2025/07/02 00:30:01.309633 [INFO] Log Publish not set, skipping...
2025/07/02 00:50:01.416193 [INFO] Log Publish not set, skipping...
2025/07/02 01:10:01.981803 [INFO] Log Publish not set, skipping...
2025/07/02 01:30:02.068230 [INFO] Log Publish not set, skipping...
2025/07/02 01:50:01.101292 [INFO] Log Publish not set, skipping...
